id,budget_id,date,amount,payee_name,category_id,category_name,account_name,memo,approved,cleared,transfer_account_id,transfer_account_name,debt_transaction_type,is_split,parent_transaction_id
1ff2f37a-a0c7-4bfb-a179-94335ae93f6a,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-68.96,Amazon Marketplace,,Split,Rewards Visa,,1,cleared,,,,1,
803320e0-ae05-47f0-a90b-8e940b0007c1,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-11.99,Amazon Marketplace,44672071-39c3-4d7f-b022-b50059b93a46,General Shopping,Rewards Visa,Sticky Notes Variety,1,cleared,,,,0,1ff2f37a-a0c7-4bfb-a179-94335ae93f6a
728cfdd3-6c2b-45bf-99fe-477ae5805057,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-19.99,Amazon Marketplace,44672071-39c3-4d7f-b022-b50059b93a46,General Shopping,Rewards Visa,Desk Organizer,1,cleared,,,,0,1ff2f37a-a0c7-4bfb-a179-94335ae93f6a
fcb030c9-5323-4c4e-af41-f2b2f2f59a1a,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-8.99,Amazon Marketplace,44672071-39c3-4d7f-b022-b50059b93a46,General Shopping,Rewards Visa,Pens Ballpoint 24-Pack,1,cleared,,,,0,1ff2f37a-a0c7-4bfb-a179-94335ae93f6a
bc5ae4c9-6426-4ca8-82fa-2404aee06e3b,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-27.99,Amazon Marketplace,951382ad-29ea-45c0-8de2-3b05bae9f1b2,Home Goods,Rewards Visa,LED Desk Lamp,1,cleared,,,,0,1ff2f37a-a0c7-4bfb-a179-94335ae93f6a
0d49522a-87f1-4fe7-90b3-e9df6a67379c,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-53.78,Golden Dragon Restaurant,42bb8ceb-37f0-4cc0-b28e-d967578503fc,Dining Out,Rewards Visa,,1,cleared,,,,0,
8fdc4eea-253d-4399-ba34-78b1edf0c450,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-49.28,Comfort Living,951382ad-29ea-45c0-8de2-3b05bae9f1b2,Home Goods,Rewards Visa,,1,cleared,,,,0,
1eda4e69-0535-482c-86d0-3633b86651a9,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-44.67,Little Ones Shop,c7826ef0-d98c-4bd1-8608-d3b91e038b30,Baby & Kids,Rewards Visa,,1,cleared,,,,0,
beb03155-f1a4-499b-b76f-bd231893d7de,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-14,-56.66,City Water District,af8c6329-3e75-4d42-8497-3eefb30da322,Water/Sewer,Rewards Visa,,1,cleared,,,,0,
9dc75caa-b593-4c75-a491-31855b8fee84,aaaaaaaa-bbbb-cccc-dddd-eeeeeeeeeeee,2025-12-13,-70.53,Green Leaf Grocers,19a59c78-334b-4401-8019-5e12b9e917d6,Groceries,Rewards Visa,,1,cleared,,,,0,
